"Points:0","Points:1","Points:2","X","Y"
9.2272,-0.28544,14.106,9.2272,-0.28544
9.2484,-0.28544,14.106,9.2484,-0.28544
9.2696,-0.28544,14.106,9.2696,-0.28544
9.2906,-0.28544,14.106,9.2906,-0.28544
9.3116,-0.28544,14.106,9.3116,-0.28544
9.3326,-0.28544,14.106,9.3326,-0.28544
9.3534,-0.28544,14.106,9.3534,-0.28544
9.3742,-0.28544,14.106,9.3742,-0.28544
9.395,-0.28544,14.106,9.395,-0.28544
9.4157,-0.28544,14.106,9.4157,-0.28544
9.4363,-0.28544,14.106,9.4363,-0.28544
9.4569,-0.28544,14.106,9.4569,-0.28544
9.4774,-0.28544,14.106,9.4774,-0.28544
9.4979,-0.28544,14.106,9.4979,-0.28544
9.5183,-0.28544,14.106,9.5183,-0.28544
9.5386,-0.28544,14.106,9.5386,-0.28544
9.5589,-0.28544,14.106,9.5589,-0.28544
9.5791,-0.28544,14.106,9.5791,-0.28544
9.5993,-0.28544,14.106,9.5993,-0.28544
9.6194,-0.28544,14.106,9.6194,-0.28544
9.6394,-0.28544,14.106,9.6394,-0.28544
9.6595,-0.28544,14.106,9.6595,-0.28544
9.6794,-0.28544,14.106,9.6794,-0.28544
9.6993,-0.28544,14.106,9.6993,-0.28544
9.7191,-0.28544,14.106,9.7191,-0.28544
9.7389,-0.28544,14.106,9.7389,-0.28544
9.7586,-0.28544,14.106,9.7586,-0.28544
9.7783,-0.28544,14.106,9.7783,-0.28544
9.798,-0.28544,14.106,9.798,-0.28544
9.8175,-0.28544,14.106,9.8175,-0.28544
9.8371,-0.28544,14.106,9.8371,-0.28544
9.8565,-0.28544,14.106,9.8565,-0.28544
9.8759,-0.28544,14.106,9.8759,-0.28544
9.8953,-0.28544,14.106,9.8953,-0.28544
9.9146,-0.28544,14.106,9.9146,-0.28544
9.9339,-0.28544,14.106,9.9339,-0.28544
9.9531,-0.28544,14.106,9.9531,-0.28544
9.9723,-0.28544,14.106,9.9723,-0.28544
9.9914,-0.28544,14.106,9.9914,-0.28544
10.01,-0.28544,14.106,10.01,-0.28544
10.03,-0.28544,14.106,10.03,-0.28544
10.049,-0.28544,14.106,10.049,-0.28544
10.067,-0.28544,14.106,10.067,-0.28544
10.086,-0.28544,14.106,10.086,-0.28544
10.105,-0.28544,14.106,10.105,-0.28544
10.124,-0.28544,14.106,10.124,-0.28544
10.143,-0.28544,14.106,10.143,-0.28544
10.161,-0.28544,14.106,10.161,-0.28544
10.18,-0.28544,14.106,10.18,-0.28544
10.199,-0.28544,14.106,10.199,-0.28544
10.217,-0.28544,14.106,10.217,-0.28544
10.236,-0.28544,14.106,10.236,-0.28544
10.254,-0.28544,14.106,10.254,-0.28544
10.273,-0.28544,14.106,10.273,-0.28544
10.291,-0.28544,14.106,10.291,-0.28544
10.309,-0.28544,14.106,10.309,-0.28544
10.328,-0.28544,14.106,10.328,-0.28544
10.346,-0.28544,14.106,10.346,-0.28544
10.364,-0.28544,14.106,10.364,-0.28544
10.382,-0.28544,14.106,10.382,-0.28544
10.401,-0.28544,14.106,10.401,-0.28544
10.419,-0.28544,14.106,10.419,-0.28544
10.437,-0.28544,14.106,10.437,-0.28544
10.455,-0.28544,14.106,10.455,-0.28544
10.473,-0.28544,14.106,10.473,-0.28544
10.491,-0.28544,14.106,10.491,-0.28544
10.509,-0.28544,14.106,10.509,-0.28544
10.526,-0.28544,14.106,10.526,-0.28544
10.544,-0.28544,14.106,10.544,-0.28544
10.562,-0.28544,14.106,10.562,-0.28544
10.58,-0.28544,14.106,10.58,-0.28544
10.597,-0.28544,14.106,10.597,-0.28544
10.615,-0.28544,14.106,10.615,-0.28544
10.633,-0.28544,14.106,10.633,-0.28544
10.65,-0.28544,14.106,10.65,-0.28544
10.668,-0.28544,14.106,10.668,-0.28544
10.685,-0.28544,14.106,10.685,-0.28544
10.703,-0.28544,14.106,10.703,-0.28544
10.72,-0.28544,14.106,10.72,-0.28544
10.738,-0.28544,14.106,10.738,-0.28544
10.755,-0.28544,14.106,10.755,-0.28544
10.772,-0.28544,14.106,10.772,-0.28544
10.79,-0.28544,14.106,10.79,-0.28544
10.807,-0.28544,14.106,10.807,-0.28544
10.824,-0.28544,14.106,10.824,-0.28544
10.841,-0.28544,14.106,10.841,-0.28544
10.859,-0.28544,14.106,10.859,-0.28544
10.876,-0.28544,14.106,10.876,-0.28544
10.893,-0.28544,14.106,10.893,-0.28544
10.91,-0.28544,14.106,10.91,-0.28544
10.927,-0.28544,14.106,10.927,-0.28544
10.944,-0.28544,14.106,10.944,-0.28544
10.961,-0.28544,14.106,10.961,-0.28544
10.978,-0.28544,14.106,10.978,-0.28544
10.995,-0.28544,14.106,10.995,-0.28544
11.012,-0.28544,14.106,11.012,-0.28544
11.028,-0.28544,14.106,11.028,-0.28544
11.045,-0.28544,14.106,11.045,-0.28544
11.062,-0.28544,14.106,11.062,-0.28544
11.079,-0.28544,14.106,11.079,-0.28544
11.096,-0.28544,14.106,11.096,-0.28544
11.112,-0.28544,14.106,11.112,-0.28544
11.129,-0.28544,14.106,11.129,-0.28544
11.145,-0.28544,14.106,11.145,-0.28544
11.162,-0.28544,14.106,11.162,-0.28544
11.179,-0.28544,14.106,11.179,-0.28544
11.195,-0.28544,14.106,11.195,-0.28544
11.212,-0.28544,14.106,11.212,-0.28544
11.228,-0.28544,14.106,11.228,-0.28544
11.245,-0.28544,14.106,11.245,-0.28544
11.261,-0.28544,14.106,11.261,-0.28544
11.277,-0.28544,14.106,11.277,-0.28544
11.294,-0.28544,14.106,11.294,-0.28544
11.31,-0.28544,14.106,11.31,-0.28544
11.326,-0.28544,14.106,11.326,-0.28544
11.343,-0.28544,14.106,11.343,-0.28544
11.359,-0.28544,14.106,11.359,-0.28544
11.375,-0.28544,14.106,11.375,-0.28544
11.391,-0.28544,14.106,11.391,-0.28544
11.408,-0.28544,14.106,11.408,-0.28544
11.424,-0.28544,14.106,11.424,-0.28544
11.44,-0.28544,14.106,11.44,-0.28544
11.456,-0.28544,14.106,11.456,-0.28544
11.472,-0.28544,14.106,11.472,-0.28544
11.488,-0.28544,14.106,11.488,-0.28544
11.504,-0.28544,14.106,11.504,-0.28544
11.52,-0.28544,14.106,11.52,-0.28544
11.536,-0.28544,14.106,11.536,-0.28544
11.552,-0.28544,14.106,11.552,-0.28544
11.568,-0.28544,14.106,11.568,-0.28544
11.584,-0.28544,14.106,11.584,-0.28544
11.6,-0.28544,14.106,11.6,-0.28544
11.616,-0.28544,14.106,11.616,-0.28544
11.632,-0.28544,14.106,11.632,-0.28544
11.647,-0.28544,14.106,11.647,-0.28544
11.663,-0.28544,14.106,11.663,-0.28544
11.679,-0.28544,14.106,11.679,-0.28544
11.695,-0.28544,14.106,11.695,-0.28544
11.71,-0.28544,14.106,11.71,-0.28544
11.726,-0.28544,14.106,11.726,-0.28544
11.742,-0.28544,14.106,11.742,-0.28544
11.757,-0.28544,14.106,11.757,-0.28544
11.773,-0.28544,14.106,11.773,-0.28544
11.789,-0.28544,14.106,11.789,-0.28544
